,tconst,year,genres,averagerating,numvotes,title,studio,foreign_gross,release_date,budgets,world_gross,domestic_gross,rating,director,writer,theater_date
2215,,,Drama|Mystery and Suspense,,,,,,,,,,R,Gary Fleder,David Klass,"Oct 3, 1997"
2216,,,Art House and International|Drama,,,,,,,,,,NR,Tian Zhuangzhuang,Rui Zhang,"Jan 1, 1986"
2217,,,Drama|Special Interest|Sports and Fitness,,,,,,,,,,PG,Charles Sturridge,Charles Sturridge|Tim Sullivan,"Jun 1, 1994"
2218,,,Comedy|Mystery and Suspense|Romance,,,,Miramax Films,,,,,,R,Michael Lehmann,Rob Perez|Robert Perez,"Mar 1, 2002"
2219,,,Art House and International|Drama,,,,First Run Features,,,,"8,856",,NR,Jeanne Labrune,Jeanne Labrune|Richard Debuisne,"Aug 26, 2011"
2220,,,Comedy,,,,,,,,,,PG-13,Deborah Brock,Jed Horovitz|Deborah Brock,"Jun 1, 1991"
2221,,,Action and Adventure|Comedy|Kids and Family,,,,,,,,,,PG,Sean McNamara,Sean McNamara|Jeff Phillips,"Apr 10, 1998"
2222,,,Classics|Comedy|Drama,,,,,,,,,,NR,Richard Quine,Arthur Carter|Blake Edwards|Jed Harris,"Aug 17, 1957"
2223,,,Action and Adventure|Science Fiction and Fantasy,,,,Miramax Films,,,,,,R,Douglas Aarniokoski,Gregory Widen|Joel Soisson|Eric Bernt,"Sep 1, 2000"
2224,,,Action and Adventure|Drama|Western,,,,,,,,"33,200,000",,PG-13,Lawrence Kasdan,Mark Kasdan|Lawrence Kasdan,"Jan 1, 1985"
2225,,,Drama|Mystery and Suspense,,,,Film 44,,,,"26,973,524",,R,David Mackenzie,Taylor Sheridan,"Aug 12, 2016"
2226,,,Drama,,,,Paramount Pictures,,,,"11,348,612",,R,Alexander Payne,Bob Nelson,"Nov 15, 2013"
2227,,,Action and Adventure|Classics|Drama|Mystery and Suspense,,,,,,,,,,PG,Terence Young,,"Dec 20, 1965"
2228,,,Science Fiction and Fantasy,,,,,,,,,,NR,Terry Marcel,Terry Marcel,
2229,,,Art House and International|Drama,,,,,,,,,,R,Atom Egoyan,Atom Egoyan,"May 16, 1994"
2230,,,Drama,,,,,,,,,,NR,Kira Muratova,Natalya Ryazantseva,
2231,,,Action and Adventure|Drama|Mystery and Suspense,,,,,,,,,,PG,Gordon Douglas,,
2232,,,Action and Adventure|Art House and International|Mystery and Suspense,,,,,,,,,,NR,Ravi Chopra,,
2233,,,Drama,,,,,,,,,,R,Frank Whaley,Frank Whaley,"Oct 15, 1999"
2234,,,Action and Adventure,,,,,,,,"1,526,248",,NR,Dante Lam,Ji Feng,"Feb 23, 2018"
2235,,,Mystery and Suspense,,,,,,,,,,NR,Jean Negulesco,Frank Gruber,
2236,,,Science Fiction and Fantasy,,,,,,,,,,NR,David MacDonald,,"Apr 27, 1955"
2237,,,Art House and International|Drama,,,,,,,,,,NR,,Jacques Fieschi|Bernard Minoret,"Nov 17, 2000"
2238,,,Comedy,,,,,,,,,,NR,Dick Maas,Dick Maas,
2239,,,Action and Adventure|Comedy,,,,Lionsgate,,,,"13,630,226",,R,Mark Neveldine|Brian Taylor,Brian Taylor|Mark Neveldine,"Apr 17, 2009"
2240,,,Comedy|Horror|Science Fiction and Fantasy,,,,,,,,,,PG-13,Thom Eberhardt,Thom Eberhardt,"Nov 16, 1984"
2241,,,Comedy|Drama|Musical and Performing Arts,,,,,,,,,,NR,,,
2242,,,Drama,,,,Aviron Pictures,,,,,,R,Matthew Heineman,Arash Amel,
2243,,,Documentary|Musical and Performing Arts,,,,International Film Circuit,,,,,,NR,Jeremiah Zagar,,"Mar 8, 2008"
2244,,,Classics|Comedy|Western,,,,,,,,,,NR,George Marshall,Felix Jackson|Gertrude Purcell|Henry Myers,"Dec 29, 1939"
2245,,,Action and Adventure|Comedy|Drama|Mystery and Suspense,,,,,,,,,,R,,Gina Goldman|Josh McKinney|Wayne Rice,"Apr 17, 1997"
2246,,,Documentary|Special Interest,,,,Argot Pictures,,,,,,NR,Leslie Cockburn,Leslie Cockburn|Andrew Cockburn,
2247,,,Comedy|Drama|Kids and Family,,,,New Line Cinema,,,,"41,407,470",,PG,Tim McCanlies,Tim McCanlies,"Sep 19, 2003"
2248,,,Action and Adventure|Drama|Mystery and Suspense,,,,,,,,,,PG,Jerry Jameson,Michael Scheff|David Spector,"Mar 11, 1977"
2249,,,Horror,,,,,,,,,,NR,,,
2250,,,Drama,,,,The Film Arcade,,,,"101,368",,R,Josh Mond,Josh Mond,"Nov 13, 2015"
2251,,,Art House and International|Drama,,,,,,,,,,NR,,,"Jan 1, 1999"
2252,,,Drama,,,,,,,,"35,003,216",,PG-13,Clint Eastwood,Dorothy Blyskal,"Feb 9, 2018"
2253,,,Comedy,,,,,,,,,,PG,Alan Metter,Amy Spies,"Apr 12, 1985"
2254,,,Drama|Mystery and Suspense,,,,Universal Studios,,,,"15,133,185",,R,Nick Cassavetes,Nick Cassavetes,"Jan 12, 2007"
2255,,,Action and Adventure|Comedy,,,,Sony Pictures Home Entertainment,,,,,,PG-13,Les Mayfield,Stephen Carpenter|John Blumenthal|Michael Berry,"Sep 17, 1999"
2256,,,Classics|Drama,,,,,,,,,,NR,Carol Reed,Philip Dunne|Carol Reed,"Sep 16, 1965"
2257,,,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,,,,Buena Vista Distribution Compa,,,,"38,120,554",,PG,Ron Clements|John Musker,Sam Levine|Alex Mann|Ron Clements|John Musker|Rob Edwards,"Nov 27, 2002"
2258,,,Drama|Science Fiction and Fantasy,,,,Fox Searchlight,,,,,,R,Mike Cahill,Mike Cahill,"Jul 18, 2014"
2259,,,Classics|Drama|Musical and Performing Arts,,,,,,,,,,PG,Claude Whatham,Ray Connolly,"Jan 1, 1973"
2260,,,Drama,,,,Crane Movie Company,,,,"549,351",,PG-13,Ryan Little,David Pliler,"Sep 26, 2008"
2261,,,Action and Adventure|Drama|Mystery and Suspense,,,,Universal Pictures,,,,"176,049,130",,PG-13,Paul Greengrass,Tony Gilroy,"Jul 23, 2004"
